Episode,Avg_Queue,Max_Queue,Min_Queue,Avg_Wait_Time,Max_Wait_Time,Avg_Speed,Cumulative_Reward,Vehicles_Passed
1,36.135714285714286,41.0,13.0,1292.517857142857,2585.25,2.52835462306227,-17190.08333333333,0
2,36.135714285714286,41.0,13.0,1292.517857142857,2585.25,2.52835462306227,-17190.08333333333,0
